項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,48133229,3817569,149704,44165956
紙類,22457294,314130,129148,22014016
紙容器,805255,74470,942,729843
鋁箔包,726234,22880,2074,701280
鋁容器,466126,1260,2345,462521
鐵容器,994339,122940,587,870812
其他金屬製品,8995618,110210,3324,8882084
塑膠容器,3860237,26560,1632,3832045
包裝用發泡塑膠,46566,26960,-,19606
其他塑膠製品,842884,102880,1639,738365
輪胎,584656,117890,-,466766
玻璃容器,4586472,1267450,121,3318901
其他玻璃製品,397924,95980,-,301944
照明光源,99716,11820,-,87896
乾電池,68202,2920,-,65282
鉛蓄電池,143930,1120,-,142810
家電,363117,44170,-,318947
資訊物品,192377,920,44,191413
光碟片,7055,-,-,7055
行動電話(含充電器),4704,-,-,4704
農藥容器及特殊環境用藥容器,14581,60,-,14521
舊衣類,539032,42640,2681,493711
食用油,14581,230,-,14351
其他,1922329,1430079,5167,487083
