項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,46800588,4126030,104804,42569754
紙類,22039176,561897,90503,21386776
紙容器,776148,219642,708,555798
鋁箔包,711507,132253,1507,577747
鋁容器,457101,39164,1177,416760
鐵容器,974225,139966,472,833787
其他金屬製品,8829429,63790,2386,8763253
塑膠容器,3783315,136796,1187,3645332
包裝用發泡塑膠,46633,25620,-,21013
其他塑膠製品,824628,221429,1192,602007
輪胎,574839,101400,-,473439
玻璃容器,4498516,1414655,278,3083583
其他玻璃製品,390613,42710,-,347903
照明光源,97422,13020,2,84400
乾電池,67873,2280,-,65593
鉛蓄電池,142209,880,-,141329
家電,357370,37000,-,320370
資訊物品,187919,8770,80,179069
光碟片,9696,-,-,9696
行動電話(含充電器),4155,-,-,4155
農藥容器及特殊環境用藥容器,15237,-,-,15237
舊衣類,527743,62350,1929,463464
食用油,15698,1120,-,14578
其他,1469136,901288,3383,564465
