項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,52420593,4304611,152347,47963635
紙類,24501370,334260,131787,24035323
紙容器,878073,124310,976,752787
鋁箔包,791857,38510,2142,751205
鋁容器,509601,1660,2194,505747
鐵容器,1084377,180670,623,903084
其他金屬製品,9814301,95510,3414,9715377
塑膠容器,4210235,49980,1682,4158573
包裝用發泡塑膠,51319,42240,-,9079
其他塑膠製品,919129,155060,1685,762384
輪胎,637899,107430,-,530469
玻璃容器,5003117,1476000,155,3526962
其他玻璃製品,433648,109300,-,324348
照明光源,109823,9670,-,100153
乾電池,74413,3390,-,71023
鉛蓄電池,157037,1800,-,155237
家電,396185,37330,-,358855
資訊物品,209896,5920,64,203912
光碟片,8724,110,-,8614
行動電話(含充電器),5132,-,-,5132
農藥容器及特殊環境用藥容器,15909,130,-,15779
舊衣類,588119,31910,2751,553458
食用油,16422,700,-,15722
其他,2004007,1498721,4874,500412
