項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,50138504,4256262,150925,45731317
紙類,23344236,198730,130460,23015046
紙容器,837075,71350,959,764766
鋁箔包,754933,37270,2108,715555
鋁容器,485034,1320,2377,481337
鐵容器,1033632,134680,605,898347
其他金屬製品,9350602,109670,3369,9237563
塑膠容器,4012290,29430,1657,3981203
包裝用發泡塑膠,48895,37020,-,11875
其他塑膠製品,876191,114150,1662,760379
輪胎,607760,135780,-,471980
玻璃容器,4767223,1537880,138,3229205
其他玻璃製品,413159,110020,-,303139
照明光源,105123,11690,-,93433
乾電池,70897,470,-,70427
鉛蓄電池,149617,920,-,148697
家電,377466,56970,-,320496
資訊物品,199979,3080,54,196845
光碟片,7823,-,-,7823
行動電話(含充電器),4889,-,-,4889
農藥容器及特殊環境用藥容器,15157,60,-,15097
舊衣類,560821,36920,2716,521185
食用油,15157,1000,-,14157
其他,2100545,1627852,4820,467873
