項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,50308767,4188887,126525,45993355
紙類,23675674,551867,109498,23014309
紙容器,836686,254630,835,581221
鋁箔包,764771,106553,1809,656409
鋁容器,491497,20914,1408,469175
鐵容器,1046973,136274,550,910149
其他金屬製品,9484752,95440,2872,9386440
塑膠容器,4066382,160006,1422,3904954
包裝用發泡塑膠,50092,30060,-,20032
其他塑膠製品,886282,181875,1427,702980
輪胎,616975,136000,-,480975
玻璃容器,4833138,1376037,226,3456875
其他玻璃製品,419583,38470,-,381113
照明光源,105640,12070,2,93568
乾電池,72410,850,-,71560
鉛蓄電池,152756,940,-,151816
家電,383874,32870,-,351004
資訊物品,201856,11010,80,190766
光碟片,9919,140,-,9779
行動電話(含充電器),4960,-,-,4960
農藥容器及特殊環境用藥容器,16367,790,-,15577
舊衣類,568371,59110,2319,506942
食用油,16367,750,-,15617
其他,1603442,982231,4077,617134
