項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,48681666,4731850,115152,43834664
紙類,22834140,631037,99549,22103554
紙容器,805545,282940,770,521835
鋁箔包,737619,146923,1650,589046
鋁容器,474047,51124,1287,421636
鐵容器,1009323,153714,508,855101
其他金屬製品,9148007,103310,2616,9042081
塑膠容器,3920574,167036,1298,3752240
包裝用發泡塑膠,48314,32570,-,15744
其他塑膠製品,854337,225811,1302,627224
輪胎,595070,119700,-,475370
玻璃容器,4661542,1485235,261,3176046
其他玻璃製品,404686,43870,-,360816
照明光源,100932,14170,2,86760
乾電池,69839,3220,-,66619
鉛蓄電池,147332,230,-,147102
家電,370245,30640,-,339605
資訊物品,194689,15650,80,178959
光碟片,9567,30,-,9537
行動電話(含充電器),4784,-,-,4784
農藥容器及特殊環境用藥容器,15786,230,-,15556
舊衣類,547235,49460,2115,495660
食用油,16264,510,-,15754
其他,1711789,1174440,3714,533635
