項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,48310181,4438100,125957,43746124
紙類,22535259,568287,108928,21858044
紙容器,797750,251230,818,545702
鋁箔包,727416,93243,1777,632396
鋁容器,468265,18854,1671,447740
鐵容器,997423,170984,531,825908
其他金屬製品,9026848,51660,2836,8972352
塑膠容器,3871212,158806,1403,3711003
包裝用發泡塑膠,47676,30090,-,17586
其他塑膠製品,844482,176201,1409,666872
輪胎,586275,30120,-,556155
玻璃容器,4600987,1280821,189,3319977
其他玻璃製品,398875,40940,-,357935
照明光源,100073,9420,-,90653
乾電池,68918,490,-,68428
鉛蓄電池,144917,670,-,144247
家電,364888,36930,-,327958
資訊物品,192121,7080,64,184977
光碟片,8969,-,-,8969
行動電話(含充電器),4720,-,-,4720
農藥容器及特殊環境用藥容器,15105,30,-,15075
舊衣類,540487,33470,2288,504729
食用油,15105,-,-,15105
其他,1952410,1478774,4043,469593
