項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,45837127,4128205,125289,41583633
紙類,21568905,583467,108394,20877044
紙容器,763121,276890,818,485413
鋁箔包,695800,98423,1777,595600
鋁容器,448204,23074,1540,423590
鐵容器,954240,142054,531,811655
其他金屬製品,8640574,74260,2836,8563478
塑膠容器,3704910,180916,1403,3522591
包裝用發泡塑膠,45634,33700,-,11934
其他塑膠製品,807851,189341,1409,617101
輪胎,561610,49430,-,512180
玻璃容器,4403421,1355101,206,3048114
其他玻璃製品,381786,42440,-,339346
照明光源,96237,12180,-,84057
乾電池,65965,-,-,65965
鉛蓄電池,139160,-,-,139160
家電,349256,21160,-,328096
資訊物品,183890,2310,64,181516
光碟片,9036,-,-,9036
行動電話(含充電器),4518,-,-,4518
農藥容器及特殊環境用藥容器,14458,30,-,14428
舊衣類,517784,41200,2285,474299
食用油,14910,110,-,14800
其他,1465857,1002119,4026,459712
