項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,46667791,3741882,147729,42778180
紙類,21820965,324530,127847,21368588
紙容器,782879,91160,925,690794
鋁箔包,705642,34150,2041,669451
鋁容器,452909,1590,2345,448974
鐵容器,966601,134810,569,831222
其他金屬製品,8740087,101010,3280,8635797
塑膠容器,3751236,28820,1607,3720809
包裝用發泡塑膠,45245,24020,-,21225
其他塑膠製品,819440,90750,1616,727074
輪胎,568078,119021,-,449057
玻璃容器,4456879,1303390,105,3153384
其他玻璃製品,387098,92720,-,294378
照明光源,96432,10320,-,86112
乾電池,66268,100,-,66168
鉛蓄電池,139392,2220,-,137172
家電,352364,37710,-,314654
資訊物品,186922,3380,34,183508
光碟片,6855,-,-,6855
行動電話(含充電器),4570,-,-,4570
農藥容器及特殊環境用藥容器,14168,60,-,14108
舊衣類,523290,41000,2646,479644
食用油,13711,1130,-,12581
其他,1766760,1299991,4714,462055
