項目別,總計,環保單位自行清運,環保單位委託清運,公私處所自行或委託清運
總計,45072595,4033306,146143,40893146
紙類,21039644,384010,126559,20529075
紙容器,755272,170870,908,583494
鋁箔包,679921,27450,2009,650462
鋁容器,437123,1440,2313,433370
鐵容器,931531,125760,551,805220
其他金屬製品,8426962,231760,3236,8191966
塑膠容器,3616843,26030,1585,3589228
包裝用發泡塑膠,43184,25600,-,17584
其他塑膠製品,790523,86910,1597,702016
輪胎,547285,102830,-,444455
玻璃容器,4297644,1234490,89,3063065
其他玻璃製品,373229,91650,-,281579
照明光源,92096,13260,-,78836
乾電池,63894,1800,-,62094
鉛蓄電池,133957,-,-,133957
家電,339299,48000,-,291299
資訊物品,180666,1800,24,178842
光碟片,6610,-,-,6610
行動電話(含充電器),4853,6,-,4847
農藥容器及特殊環境用藥容器,13660,60,-,13600
舊衣類,504543,64570,2611,437362
食用油,13219,460,-,12759
其他,1780637,1394550,4661,381426
